Año;País;Tipo de mercado;Servicio;Concepto;Operador;Tipo de Ingreso;Tipo de Paquete;Unidades;Ingresos (Millones €);Ingresos por Operador (Millones €);Empleados por Operador (Núm);Paquetes (Núm);Inversiones por Operador (Millones €);Gastos por Operador (Millones €)
2005;España;Servicio minorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;16886,48;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda ancha fija;N/A;Millones de euros;2265,42;;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda Ancha móvil;N/A;Millones de euros;303,11;;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;N/A;Comunicaciones de Empresa;N/A;Millones de euros;1307,06;;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;N/A;Otros servicios minoristas;N/A;Millones de euros;1843,23;;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios audiovisuales;N/A;Millones de euros;5028,31;;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios de información telefónica;N/A;Millones de euros;100,58;;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía fija;N/A;Millones de euros;8288,85;;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía móvil;N/A;Millones de euros;11796,79;;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;N/A;Venta y alquiler de terminales;N/A;Millones de euros;2233,57;;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;3192,13;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;8646,63;;;;
2005;España;Servicio minorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;4441,69;;;;
2006;España;N/A;Datos generales;Gastos de explotación;Jazztel;N/A;N/A;Millones de euros;;;;;;25,48
2006;España;N/A;Datos generales;Gastos de explotación;Movistar;N/A;N/A;Millones de euros;;;;;;604,96
2006;España;N/A;Datos generales;Gastos de explotación;Ono;N/A;N/A;Millones de euros;;;;;;52,59
2006;España;N/A;Datos generales;Gastos de explotación;Orange;N/A;N/A;Millones de euros;;;;;;180,79
2006;España;N/A;Datos generales;Gastos de explotación;Resto;N/A;N/A;Millones de euros;;;;;;122,82
2006;España;N/A;Datos generales;Gastos de explotación;Vodafone;N/A;N/A;Millones de euros;;;;;;188,39
2006;España;N/A;Datos generales;Gastos de explotación;Yoigo;N/A;N/A;Millones de euros;;;;;;9,58
2006;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;Euskaltel;N/A;N/A;Millones de euros;;;;;138,81;
